id,category,value
56813,CategoryA,150
56814,CategoryC,300
56815,CategoryB,250
56816,CategoryA,180
56817,CategoryC,220
56818,CategoryB,190
56819,CategoryA,210
56820,CategoryC,160
56821,CategoryA,100
56822,CategoryB,200
56823,CategoryA,150
56824,CategoryC,300
56825,CategoryB,250
56826,CategoryA,180
56827,CategoryC,220
56828,CategoryB,190
56829,CategoryA,210
56830,CategoryC,160
56831,CategoryA,100
56832,CategoryB,200
56833,CategoryA,150
56834,CategoryC,300
56835,CategoryB,250
56836,CategoryA,180
56837,CategoryC,220
56838,CategoryB,190
56839,CategoryA,210
56840,CategoryC,160
56841,CategoryA,100
56842,CategoryB,200
56843,CategoryA,150
56844,CategoryC,300
56845,CategoryB,250
56846,CategoryA,180
56847,CategoryC,220
56848,CategoryB,190
56849,CategoryA,210
56850,CategoryC,160
56851,CategoryA,100
56852,CategoryB,200
56853,CategoryA,150
56854,CategoryC,300
56855,CategoryB,250
56856,CategoryA,180
56857,CategoryC,220
56858,CategoryB,190
56859,CategoryA,210
56860,CategoryC,160
56861,CategoryA,100
56862,CategoryB,200
56863,CategoryA,150
56864,CategoryC,300
56865,CategoryB,250
56866,CategoryA,180
56867,CategoryC,220
56868,CategoryB,190
56869,CategoryA,210
56870,CategoryC,160
56871,CategoryA,100
56872,CategoryB,200
56873,CategoryA,150
56874,CategoryC,300
56875,CategoryB,250
56876,CategoryA,180
56877,CategoryC,220
56878,CategoryB,190
56879,CategoryA,210
56880,CategoryC,160
56881,CategoryA,100
56882,CategoryB,200
56883,CategoryA,150
56884,CategoryC,300
56885,CategoryB,250
56886,CategoryA,180
56887,CategoryC,220
56888,CategoryB,190
56889,CategoryA,210
56890,CategoryC,160
56891,CategoryA,100
56892,CategoryB,200
56893,CategoryA,150
56894,CategoryC,300
56895,CategoryB,250
56896,CategoryA,180
56897,CategoryC,220
56898,CategoryB,190
56899,CategoryA,210
56900,CategoryC,160
56901,CategoryA,100
56902,CategoryB,200
56903,CategoryA,150
56904,CategoryC,300
56905,CategoryB,250
56906,CategoryA,180
56907,CategoryC,220
56908,CategoryB,190
56909,CategoryA,210
56910,CategoryC,160
56911,CategoryA,100
56912,CategoryB,200
56913,CategoryA,150
56914,CategoryC,300
56915,CategoryB,250
56916,CategoryA,180
56917,CategoryC,220
56918,CategoryB,190
56919,CategoryA,210
56920,CategoryC,160
56921,CategoryA,100
56922,CategoryB,200
56923,CategoryA,150
56924,CategoryC,300
56925,CategoryB,250
56926,CategoryA,180
56927,CategoryC,220
56928,CategoryB,190
56929,CategoryA,210
56930,CategoryC,160
56931,CategoryA,100
56932,CategoryB,200
56933,CategoryA,150
56934,CategoryC,300
56935,CategoryB,250
56936,CategoryA,180
56937,CategoryC,220
56938,CategoryB,190
56939,CategoryA,210
56940,CategoryC,160
56941,CategoryA,100
56942,CategoryB,200
56943,CategoryA,150
56944,CategoryC,300
56945,CategoryB,250
56946,CategoryA,180
56947,CategoryC,220
56948,CategoryB,190
56949,CategoryA,210
56950,CategoryC,160
56951,CategoryA,100
56952,CategoryB,200
56953,CategoryA,150
56954,CategoryC,300
56955,CategoryB,250
56956,CategoryA,180
56957,CategoryC,220
56958,CategoryB,190
56959,CategoryA,210
56960,CategoryC,160
56961,CategoryA,100
56962,CategoryB,200
56963,CategoryA,150
56964,CategoryC,300
56965,CategoryB,250
56966,CategoryA,180
56967,CategoryC,220
56968,CategoryB,190
56969,CategoryA,210
56970,CategoryC,160
56971,CategoryA,100
56972,CategoryB,200
56973,CategoryA,150
56974,CategoryC,300
56975,CategoryB,250
56976,CategoryA,180
56977,CategoryC,220
56978,CategoryB,190
56979,CategoryA,210
56980,CategoryC,160
56981,CategoryA,100
56982,CategoryB,200
56983,CategoryA,150
56984,CategoryC,300
56985,CategoryB,250
56986,CategoryA,180
56987,CategoryC,220
56988,CategoryB,190
56989,CategoryA,210
56990,CategoryC,160
56991,CategoryA,100
56992,CategoryB,200
56993,CategoryA,150
56994,CategoryC,300
56995,CategoryB,250
56996,CategoryA,180
56997,CategoryC,220
56998,CategoryB,190
56999,CategoryA,210
57000,CategoryC,160
57001,CategoryA,100
57002,CategoryB,200
57003,CategoryA,150
57004,CategoryC,300
57005,CategoryB,250
57006,CategoryA,180
57007,CategoryC,220
57008,CategoryB,190
57009,CategoryA,210
57010,CategoryC,160
57011,CategoryA,100
57012,CategoryB,200
57013,CategoryA,150
57014,CategoryC,300
57015,CategoryB,250
57016,CategoryA,180
57017,CategoryC,220
57018,CategoryB,190
57019,CategoryA,210
57020,CategoryC,160
57021,CategoryA,100
57022,CategoryB,200
57023,CategoryA,150
57024,CategoryC,300
57025,CategoryB,250
57026,CategoryA,180
57027,CategoryC,220
57028,CategoryB,190
57029,CategoryA,210
57030,CategoryC,160
57031,CategoryA,100
57032,CategoryB,200
57033,CategoryA,150
57034,CategoryC,300
57035,CategoryB,250
57036,CategoryA,180
57037,CategoryC,220
57038,CategoryB,190
57039,CategoryA,210
57040,CategoryC,160
57041,CategoryA,100
57042,CategoryB,200
57043,CategoryA,150
57044,CategoryC,300
57045,CategoryB,250
57046,CategoryA,180
57047,CategoryC,220
57048,CategoryB,190
57049,CategoryA,210
57050,CategoryC,160
57051,CategoryA,100
57052,CategoryB,200
57053,CategoryA,150
57054,CategoryC,300
57055,CategoryB,250
57056,CategoryA,180
57057,CategoryC,220
57058,CategoryB,190
57059,CategoryA,210
57060,CategoryC,160
57061,CategoryA,100
57062,CategoryB,200
57063,CategoryA,150
57064,CategoryC,300
57065,CategoryB,250
57066,CategoryA,180
57067,CategoryC,220
57068,CategoryB,190
57069,CategoryA,210
57070,CategoryC,160
57071,CategoryA,100
57072,CategoryB,200
57073,CategoryA,150
57074,CategoryC,300
57075,CategoryB,250
57076,CategoryA,180
57077,CategoryC,220
57078,CategoryB,190
57079,CategoryA,210
57080,CategoryC,160
57081,CategoryA,100
57082,CategoryB,200
57083,CategoryA,150
57084,CategoryC,300
57085,CategoryB,250
57086,CategoryA,180
57087,CategoryC,220
57088,CategoryB,190
57089,CategoryA,210
57090,CategoryC,160
57091,CategoryA,100
57092,CategoryB,200
57093,CategoryA,150
57094,CategoryC,300
57095,CategoryB,250
57096,CategoryA,180
57097,CategoryC,220
57098,CategoryB,190
57099,CategoryA,210
57100,CategoryC,160
57101,CategoryA,100
57102,CategoryB,200
57103,CategoryA,150
57104,CategoryC,300
57105,CategoryB,250
57106,CategoryA,180
57107,CategoryC,220
57108,CategoryB,190
57109,CategoryA,210
57110,CategoryC,160
57111,CategoryA,100
57112,CategoryB,200
57113,CategoryA,150
57114,CategoryC,300
57115,CategoryB,250
57116,CategoryA,180
57117,CategoryC,220
57118,CategoryB,190
57119,CategoryA,210
57120,CategoryC,160
57121,CategoryA,100
57122,CategoryB,200
57123,CategoryA,150
57124,CategoryC,300
57125,CategoryB,250
57126,CategoryA,180
57127,CategoryC,220
57128,CategoryB,190
57129,CategoryA,210
57130,CategoryC,160
57131,CategoryA,100
57132,CategoryB,200
57133,CategoryA,150
57134,CategoryC,300
57135,CategoryB,250
57136,CategoryA,180
57137,CategoryC,220
57138,CategoryB,190
57139,CategoryA,210
57140,CategoryC,160
57141,CategoryA,100
57142,CategoryB,200
57143,CategoryA,150
57144,CategoryC,300
57145,CategoryB,250
57146,CategoryA,180
57147,CategoryC,220
57148,CategoryB,190
57149,CategoryA,210
57150,CategoryC,160
57151,CategoryA,100
57152,CategoryB,200
57153,CategoryA,150
57154,CategoryC,300
57155,CategoryB,250
57156,CategoryA,180
57157,CategoryC,220
57158,CategoryB,190
57159,CategoryA,210
57160,CategoryC,160
57161,CategoryA,100
57162,CategoryB,200
57163,CategoryA,150
57164,CategoryC,300
57165,CategoryB,250
57166,CategoryA,180
57167,CategoryC,220
57168,CategoryB,190
57169,CategoryA,210
57170,CategoryC,160
57171,CategoryA,100
57172,CategoryB,200
57173,CategoryA,150
57174,CategoryC,300
57175,CategoryB,250
57176,CategoryA,180
57177,CategoryC,220
57178,CategoryB,190
57179,CategoryA,210
57180,CategoryC,160
57181,CategoryA,100
57182,CategoryB,200
57183,CategoryA,150
57184,CategoryC,300
57185,CategoryB,250
57186,CategoryA,180
57187,CategoryC,220
57188,CategoryB,190
57189,CategoryA,210
57190,CategoryC,160
57191,CategoryA,100
57192,CategoryB,200
57193,CategoryA,150
57194,CategoryC,300
57195,CategoryB,250
57196,CategoryA,180
57197,CategoryC,220
57198,CategoryB,190
57199,CategoryA,210
57200,CategoryC,160
57201,CategoryA,100
57202,CategoryB,200
57203,CategoryA,150
57204,CategoryC,300
57205,CategoryB,250
57206,CategoryA,180
57207,CategoryC,220
57208,CategoryB,190
57209,CategoryA,210
57210,CategoryC,160
57211,CategoryA,100
57212,CategoryB,200
57213,CategoryA,150
57214,CategoryC,300
57215,CategoryB,250
57216,CategoryA,180
57217,CategoryC,220
57218,CategoryB,190
57219,CategoryA,210
57220,CategoryC,160
57221,CategoryA,100
57222,CategoryB,200
57223,CategoryA,150
57224,CategoryC,300
57225,CategoryB,250
57226,CategoryA,180
57227,CategoryC,220
57228,CategoryB,190
57229,CategoryA,210
57230,CategoryC,160
57231,CategoryA,100
57232,CategoryB,200
57233,CategoryA,150
57234,CategoryC,300
57235,CategoryB,250
57236,CategoryA,180
57237,CategoryC,220
57238,CategoryB,190
57239,CategoryA,210
57240,CategoryC,160
57241,CategoryA,100
57242,CategoryB,200
57243,CategoryA,150
57244,CategoryC,300
57245,CategoryB,250
57246,CategoryA,180
57247,CategoryC,220
57248,CategoryB,190
57249,CategoryA,210
57250,CategoryC,160
57251,CategoryA,100
57252,CategoryB,200
57253,CategoryA,150
57254,CategoryC,300
57255,CategoryB,250
57256,CategoryA,180
57257,CategoryC,220
57258,CategoryB,190
57259,CategoryA,210
57260,CategoryC,160
57261,CategoryA,100
57262,CategoryB,200
57263,CategoryA,150
57264,CategoryC,300
57265,CategoryB,250
57266,CategoryA,180
57267,CategoryC,220
57268,CategoryB,190
57269,CategoryA,210
57270,CategoryC,160
57271,CategoryA,100
57272,CategoryB,200
57273,CategoryA,150
57274,CategoryC,300
57275,CategoryB,250
57276,CategoryA,180
57277,CategoryC,220
57278,CategoryB,190
57279,CategoryA,210
57280,CategoryC,160
57281,CategoryA,100
57282,CategoryB,200
57283,CategoryA,150
57284,CategoryC,300
57285,CategoryB,250
57286,CategoryA,180
57287,CategoryC,220
57288,CategoryB,190
57289,CategoryA,210
57290,CategoryC,160
57291,CategoryA,100
57292,CategoryB,200
57293,CategoryA,150
57294,CategoryC,300
57295,CategoryB,250
57296,CategoryA,180
57297,CategoryC,220
57298,CategoryB,190
57299,CategoryA,210
57300,CategoryC,160
57301,CategoryA,100
57302,CategoryB,200
57303,CategoryA,150
57304,CategoryC,300
57305,CategoryB,250
57306,CategoryA,180
57307,CategoryC,220
57308,CategoryB,190
57309,CategoryA,210
57310,CategoryC,160
57311,CategoryA,100
57312,CategoryB,200
57313,CategoryA,150
57314,CategoryC,300
57315,CategoryB,250
57316,CategoryA,180
57317,CategoryC,220
57318,CategoryB,190
57319,CategoryA,210
57320,CategoryC,160
57321,CategoryA,100
57322,CategoryB,200
57323,CategoryA,150
57324,CategoryC,300
57325,CategoryB,250
57326,CategoryA,180
57327,CategoryC,220
57328,CategoryB,190
57329,CategoryA,210
57330,CategoryC,160
57331,CategoryA,100
57332,CategoryB,200
57333,CategoryA,150
57334,CategoryC,300
57335,CategoryB,250
57336,CategoryA,180
57337,CategoryC,220
57338,CategoryB,190
57339,CategoryA,210
57340,CategoryC,160
57341,CategoryA,100
57342,CategoryB,200
57343,CategoryA,150
57344,CategoryC,300
57345,CategoryB,250
57346,CategoryA,180
57347,CategoryC,220
57348,CategoryB,190
57349,CategoryA,210
57350,CategoryC,160
57351,CategoryA,100
57352,CategoryB,200
57353,CategoryA,150
57354,CategoryC,300
57355,CategoryB,250
57356,CategoryA,180
57357,CategoryC,220
57358,CategoryB,190
57359,CategoryA,210
57360,CategoryC,160
57361,CategoryA,100
57362,CategoryB,200
57363,CategoryA,150
57364,CategoryC,300
57365,CategoryB,250
57366,CategoryA,180
57367,CategoryC,220
57368,CategoryB,190
57369,CategoryA,210
57370,CategoryC,160
57371,CategoryA,100
57372,CategoryB,200
57373,CategoryA,150
57374,CategoryC,300
57375,CategoryB,250
57376,CategoryA,180
57377,CategoryC,220
57378,CategoryB,190
57379,CategoryA,210
57380,CategoryC,160
57381,CategoryA,100
57382,CategoryB,200
57383,CategoryA,150
57384,CategoryC,300
57385,CategoryB,250
57386,CategoryA,180
57387,CategoryC,220
57388,CategoryB,190
57389,CategoryA,210
57390,CategoryC,160
57391,CategoryA,100
57392,CategoryB,200
57393,CategoryA,150
57394,CategoryC,300
57395,CategoryB,250
57396,CategoryA,180
57397,CategoryC,220
57398,CategoryB,190
57399,CategoryA,210
57400,CategoryC,160
57401,CategoryA,100
57402,CategoryB,200
57403,CategoryA,150
57404,CategoryC,300
57405,CategoryB,250
57406,CategoryA,180
57407,CategoryC,220
57408,CategoryB,190
57409,CategoryA,210
57410,CategoryC,160
57411,CategoryA,100
57412,CategoryB,200
57413,CategoryA,150
57414,CategoryC,300
57415,CategoryB,250
57416,CategoryA,180
57417,CategoryC,220
57418,CategoryB,190
57419,CategoryA,210
57420,CategoryC,160
57421,CategoryA,100
57422,CategoryB,200
57423,CategoryA,150
57424,CategoryC,300
57425,CategoryB,250
57426,CategoryA,180
57427,CategoryC,220
57428,CategoryB,190
57429,CategoryA,210
57430,CategoryC,160
57431,CategoryA,100
57432,CategoryB,200
57433,CategoryA,150
57434,CategoryC,300
57435,CategoryB,250
57436,CategoryA,180
57437,CategoryC,220
57438,CategoryB,190
57439,CategoryA,210
57440,CategoryC,160
57441,CategoryA,100
57442,CategoryB,200
57443,CategoryA,150
57444,CategoryC,300
57445,CategoryB,250
57446,CategoryA,180
57447,CategoryC,220
57448,CategoryB,190
57449,CategoryA,210
57450,CategoryC,160
57451,CategoryA,100
57452,CategoryB,200
57453,CategoryA,150
57454,CategoryC,300
57455,CategoryB,250
57456,CategoryA,180
57457,CategoryC,220
57458,CategoryB,190
57459,CategoryA,210
57460,CategoryC,160
57461,CategoryA,100
57462,CategoryB,200
57463,CategoryA,150
57464,CategoryC,300
57465,CategoryB,250
57466,CategoryA,180
57467,CategoryC,220
57468,CategoryB,190
57469,CategoryA,210
57470,CategoryC,160
57471,CategoryA,100
57472,CategoryB,200
57473,CategoryA,150
57474,CategoryC,300
57475,CategoryB,250
57476,CategoryA,180
57477,CategoryC,220
57478,CategoryB,190
57479,CategoryA,210
57480,CategoryC,160
57481,CategoryA,100
57482,CategoryB,200
57483,CategoryA,150
57484,CategoryC,300
57485,CategoryB,250
57486,CategoryA,180
57487,CategoryC,220
57488,CategoryB,190
57489,CategoryA,210
57490,CategoryC,160
57491,CategoryA,100
57492,CategoryB,200
57493,CategoryA,150
57494,CategoryC,300
57495,CategoryB,250
57496,CategoryA,180
57497,CategoryC,220
57498,CategoryB,190
57499,CategoryA,210
57500,CategoryC,160
57501,CategoryA,100
57502,CategoryB,200
57503,CategoryA,150
57504,CategoryC,300
57505,CategoryB,250
57506,CategoryA,180
57507,CategoryC,220
57508,CategoryB,190
57509,CategoryA,210
57510,CategoryC,160
57511,CategoryA,100
57512,CategoryB,200
57513,CategoryA,150
57514,CategoryC,300
57515,CategoryB,250
57516,CategoryA,180
57517,CategoryC,220
57518,CategoryB,190
57519,CategoryA,210
57520,CategoryC,160
57521,CategoryA,100
57522,CategoryB,200
57523,CategoryA,150
57524,CategoryC,300
57525,CategoryB,250
57526,CategoryA,180
57527,CategoryC,220
57528,CategoryB,190
57529,CategoryA,210
57530,CategoryC,160
57531,CategoryA,100
57532,CategoryB,200
57533,CategoryA,150
57534,CategoryC,300
57535,CategoryB,250
57536,CategoryA,180
57537,CategoryC,220
57538,CategoryB,190
57539,CategoryA,210
57540,CategoryC,160
57541,CategoryA,100
57542,CategoryB,200
57543,CategoryA,150
57544,CategoryC,300
57545,CategoryB,250
57546,CategoryA,180
57547,CategoryC,220
57548,CategoryB,190
57549,CategoryA,210
57550,CategoryC,160
57551,CategoryA,100
57552,CategoryB,200
57553,CategoryA,150
57554,CategoryC,300
57555,CategoryB,250
57556,CategoryA,180
57557,CategoryC,220
57558,CategoryB,190
57559,CategoryA,210
57560,CategoryC,160
57561,CategoryA,100
57562,CategoryB,200
57563,CategoryA,150
57564,CategoryC,300
57565,CategoryB,250
57566,CategoryA,180
57567,CategoryC,220
57568,CategoryB,190
57569,CategoryA,210
57570,CategoryC,160
57571,CategoryA,100
57572,CategoryB,200
57573,CategoryA,150
57574,CategoryC,300
57575,CategoryB,250
57576,CategoryA,180
57577,CategoryC,220
57578,CategoryB,190
57579,CategoryA,210
57580,CategoryC,160
57581,CategoryA,100
57582,CategoryB,200
57583,CategoryA,150
57584,CategoryC,300
57585,CategoryB,250
57586,CategoryA,180
57587,CategoryC,220
57588,CategoryB,190
57589,CategoryA,210
57590,CategoryC,160
57591,CategoryA,100
57592,CategoryB,200
57593,CategoryA,150
57594,CategoryC,300
57595,CategoryB,250
57596,CategoryA,180
57597,CategoryC,220
57598,CategoryB,190
57599,CategoryA,210
57600,CategoryC,160
57601,CategoryA,100
57602,CategoryB,200
57603,CategoryA,150
57604,CategoryC,300
57605,CategoryB,250
57606,CategoryA,180
57607,CategoryC,220
57608,CategoryB,190
57609,CategoryA,210
57610,CategoryC,160
57611,CategoryA,100
57612,CategoryB,200
57613,CategoryA,150
57614,CategoryC,300
57615,CategoryB,250
57616,CategoryA,180
57617,CategoryC,220
57618,CategoryB,190
57619,CategoryA,210
57620,CategoryC,160
57621,CategoryA,100
57622,CategoryB,200
57623,CategoryA,150
57624,CategoryC,300
57625,CategoryB,250
57626,CategoryA,180
57627,CategoryC,220
57628,CategoryB,190
57629,CategoryA,210
57630,CategoryC,160
57631,CategoryA,100
57632,CategoryB,200
57633,CategoryA,150
57634,CategoryC,300
57635,CategoryB,250
57636,CategoryA,180
57637,CategoryC,220
57638,CategoryB,190
57639,CategoryA,210
57640,CategoryC,160
57641,CategoryA,100
57642,CategoryB,200
57643,CategoryA,150
57644,CategoryC,300
57645,CategoryB,250
57646,CategoryA,180
57647,CategoryC,220
57648,CategoryB,190
57649,CategoryA,210
57650,CategoryC,160
57651,CategoryA,100
57652,CategoryB,200
57653,CategoryA,150
57654,CategoryC,300
57655,CategoryB,250
57656,CategoryA,180
57657,CategoryC,220
57658,CategoryB,190
57659,CategoryA,210
57660,CategoryC,160
57661,CategoryA,100
57662,CategoryB,200
57663,CategoryA,150
57664,CategoryC,300
57665,CategoryB,250
57666,CategoryA,180
57667,CategoryC,220
57668,CategoryB,190
57669,CategoryA,210
57670,CategoryC,160
57671,CategoryA,100
57672,CategoryB,200
57673,CategoryA,150
57674,CategoryC,300
57675,CategoryB,250
57676,CategoryA,180
57677,CategoryC,220
57678,CategoryB,190
57679,CategoryA,210
57680,CategoryC,160
57681,CategoryA,100
57682,CategoryB,200
57683,CategoryA,150
57684,CategoryC,300
57685,CategoryB,250
57686,CategoryA,180
57687,CategoryC,220
57688,CategoryB,190
57689,CategoryA,210
57690,CategoryC,160
57691,CategoryA,100
57692,CategoryB,200
57693,CategoryA,150
57694,CategoryC,300
57695,CategoryB,250
57696,CategoryA,180
57697,CategoryC,220
57698,CategoryB,190
57699,CategoryA,210
57700,CategoryC,160
57701,CategoryA,100
57702,CategoryB,200
57703,CategoryA,150
57704,CategoryC,300
57705,CategoryB,250
57706,CategoryA,180
57707,CategoryC,220
57708,CategoryB,190
57709,CategoryA,210
57710,CategoryC,160
57711,CategoryA,100
57712,CategoryB,200
57713,CategoryA,150
57714,CategoryC,300
57715,CategoryB,250
57716,CategoryA,180
57717,CategoryC,220
57718,CategoryB,190
57719,CategoryA,210
57720,CategoryC,160
57721,CategoryA,100
57722,CategoryB,200
57723,CategoryA,150
57724,CategoryC,300
57725,CategoryB,250
57726,CategoryA,180
57727,CategoryC,220
57728,CategoryB,190
57729,CategoryA,210
57730,CategoryC,160
57731,CategoryA,100
57732,CategoryB,200
57733,CategoryA,150
57734,CategoryC,300
57735,CategoryB,250
57736,CategoryA,180
57737,CategoryC,220
57738,CategoryB,190
57739,CategoryA,210
57740,CategoryC,160
57741,CategoryA,100
57742,CategoryB,200
57743,CategoryA,150
57744,CategoryC,300
57745,CategoryB,250
57746,CategoryA,180
57747,CategoryC,220
57748,CategoryB,190
57749,CategoryA,210
57750,CategoryC,160
57751,CategoryA,100
57752,CategoryB,200
57753,CategoryA,150
57754,CategoryC,300
57755,CategoryB,250
57756,CategoryA,180
57757,CategoryC,220
57758,CategoryB,190
57759,CategoryA,210
57760,CategoryC,160
57761,CategoryA,100
57762,CategoryB,200
57763,CategoryA,150
57764,CategoryC,300
57765,CategoryB,250
57766,CategoryA,180
57767,CategoryC,220
57768,CategoryB,190
57769,CategoryA,210
57770,CategoryC,160
57771,CategoryA,100
57772,CategoryB,200
57773,CategoryA,150
57774,CategoryC,300
57775,CategoryB,250
57776,CategoryA,180
57777,CategoryC,220
57778,CategoryB,190
57779,CategoryA,210
57780,CategoryC,160
57781,CategoryA,100
57782,CategoryB,200
57783,CategoryA,150
57784,CategoryC,300
57785,CategoryB,250
57786,CategoryA,180
57787,CategoryC,220
57788,CategoryB,190
57789,CategoryA,210
57790,CategoryC,160
57791,CategoryA,100
57792,CategoryB,200
57793,CategoryA,150
57794,CategoryC,300
57795,CategoryB,250
57796,CategoryA,180
57797,CategoryC,220
57798,CategoryB,190
57799,CategoryA,210
57800,CategoryC,160
57801,CategoryA,100
57802,CategoryB,200
57803,CategoryA,150
57804,CategoryC,300
57805,CategoryB,250
57806,CategoryA,180
57807,CategoryC,220
57808,CategoryB,190
57809,CategoryA,210
57810,CategoryC,160
57811,CategoryA,100
57812,CategoryB,200
57813,CategoryA,150
57814,CategoryC,300
57815,CategoryB,250
57816,CategoryA,180
57817,CategoryC,220
57818,CategoryB,190
57819,CategoryA,210
57820,CategoryC,160
57821,CategoryA,100
57822,CategoryB,200
57823,CategoryA,150
57824,CategoryC,300
57825,CategoryB,250
57826,CategoryA,180
57827,CategoryC,220
57828,CategoryB,190
57829,CategoryA,210
57830,CategoryC,160
57831,CategoryA,100
57832,CategoryB,200
57833,CategoryA,150
57834,CategoryC,300
57835,CategoryB,250
57836,CategoryA,180
57837,CategoryC,220
57838,CategoryB,190
57839,CategoryA,210
57840,CategoryC,160
57841,CategoryA,100
57842,CategoryB,200
57843,CategoryA,150
57844,CategoryC,300
57845,CategoryB,250
57846,CategoryA,180
57847,CategoryC,220
57848,CategoryB,190
57849,CategoryA,210
57850,CategoryC,160
57851,CategoryA,100
57852,CategoryB,200
57853,CategoryA,150
57854,CategoryC,300
57855,CategoryB,250
57856,CategoryA,180
57857,CategoryC,220
57858,CategoryB,190
57859,CategoryA,210
57860,CategoryC,160
57861,CategoryA,100
57862,CategoryB,200
57863,CategoryA,150
57864,CategoryC,300
57865,CategoryB,250
57866,CategoryA,180
57867,CategoryC,220
57868,CategoryB,190
57869,CategoryA,210
57870,CategoryC,160
57871,CategoryA,100
57872,CategoryB,200
57873,CategoryA,150
57874,CategoryC,300
57875,CategoryB,250
57876,CategoryA,180
57877,CategoryC,220
57878,CategoryB,190
57879,CategoryA,210
57880,CategoryC,160
57881,CategoryA,100
57882,CategoryB,200
57883,CategoryA,150
57884,CategoryC,300
57885,CategoryB,250
57886,CategoryA,180
57887,CategoryC,220
57888,CategoryB,190
57889,CategoryA,210
57890,CategoryC,160
57891,CategoryA,100
57892,CategoryB,200
57893,CategoryA,150
57894,CategoryC,300
57895,CategoryB,250
57896,CategoryA,180
57897,CategoryC,220
57898,CategoryB,190
57899,CategoryA,210
57900,CategoryC,160
57901,CategoryA,100
57902,CategoryB,200
57903,CategoryA,150
57904,CategoryC,300
57905,CategoryB,250
57906,CategoryA,180
57907,CategoryC,220
57908,CategoryB,190
57909,CategoryA,210
57910,CategoryC,160
57911,CategoryA,100
57912,CategoryB,200
57913,CategoryA,150
57914,CategoryC,300
57915,CategoryB,250
57916,CategoryA,180
57917,CategoryC,220
57918,CategoryB,190
57919,CategoryA,210
57920,CategoryC,160
57921,CategoryA,100
57922,CategoryB,200
57923,CategoryA,150
57924,CategoryC,300
57925,CategoryB,250
57926,CategoryA,180
57927,CategoryC,220
57928,CategoryB,190
57929,CategoryA,210
57930,CategoryC,160
57931,CategoryA,100
57932,CategoryB,200
57933,CategoryA,150
57934,CategoryC,300
57935,CategoryB,250
57936,CategoryA,180
57937,CategoryC,220
57938,CategoryB,190
57939,CategoryA,210
57940,CategoryC,160
57941,CategoryA,100
57942,CategoryB,200
57943,CategoryA,150
57944,CategoryC,300
57945,CategoryB,250
57946,CategoryA,180
57947,CategoryC,220
57948,CategoryB,190
57949,CategoryA,210
57950,CategoryC,160
57951,CategoryA,100
57952,CategoryB,200
57953,CategoryA,150
57954,CategoryC,300
57955,CategoryB,250
57956,CategoryA,180
57957,CategoryC,220
57958,CategoryB,190
57959,CategoryA,210
57960,CategoryC,160
57961,CategoryA,100
57962,CategoryB,200
57963,CategoryA,150
57964,CategoryC,300
57965,CategoryB,250
57966,CategoryA,180
57967,CategoryC,220
57968,CategoryB,190
57969,CategoryA,210
57970,CategoryC,160
57971,CategoryA,100
57972,CategoryB,200
57973,CategoryA,150
57974,CategoryC,300
57975,CategoryB,250
57976,CategoryA,180
57977,CategoryC,220
57978,CategoryB,190
57979,CategoryA,210
57980,CategoryC,160
57981,CategoryA,100
57982,CategoryB,200
57983,CategoryA,150
57984,CategoryC,300
57985,CategoryB,250
57986,CategoryA,180
57987,CategoryC,220
57988,CategoryB,190
57989,CategoryA,210
57990,CategoryC,160
57991,CategoryA,100
57992,CategoryB,200
57993,CategoryA,150
57994,CategoryC,300
57995,CategoryB,250
57996,CategoryA,180
57997,CategoryC,220
57998,CategoryB,190
57999,CategoryA,210
58000,CategoryC,160
58001,CategoryA,100
58002,CategoryB,200
58003,CategoryA,150
58004,CategoryC,300
58005,CategoryB,250
58006,CategoryA,180
58007,CategoryC,220
58008,CategoryB,190
58009,CategoryA,210
58010,CategoryC,160
58011,CategoryA,100
58012,CategoryB,200
58013,CategoryA,150
58014,CategoryC,300
58015,CategoryB,250
58016,CategoryA,180
58017,CategoryC,220
58018,CategoryB,190
58019,CategoryA,210
58020,CategoryC,160
58021,CategoryA,100
58022,CategoryB,200
58023,CategoryA,150
58024,CategoryC,300
58025,CategoryB,250
58026,CategoryA,180
58027,CategoryC,220
58028,CategoryB,190
58029,CategoryA,210
58030,CategoryC,160
58031,CategoryA,100
58032,CategoryB,200
58033,CategoryA,150
58034,CategoryC,300
58035,CategoryB,250
58036,CategoryA,180
58037,CategoryC,220
58038,CategoryB,190
58039,CategoryA,210
58040,CategoryC,160
58041,CategoryA,100
58042,CategoryB,200
58043,CategoryA,150
58044,CategoryC,300
58045,CategoryB,250
58046,CategoryA,180
58047,CategoryC,220
58048,CategoryB,190
58049,CategoryA,210
58050,CategoryC,160
58051,CategoryA,100
58052,CategoryB,200
58053,CategoryA,150
58054,CategoryC,300
58055,CategoryB,250
58056,CategoryA,180
58057,CategoryC,220
58058,CategoryB,190
58059,CategoryA,210
58060,CategoryC,160
58061,CategoryA,100
58062,CategoryB,200
58063,CategoryA,150
58064,CategoryC,300
58065,CategoryB,250
58066,CategoryA,180
58067,CategoryC,220
58068,CategoryB,190
58069,CategoryA,210
58070,CategoryC,160
58071,CategoryA,100
58072,CategoryB,200
58073,CategoryA,150
58074,CategoryC,300
58075,CategoryB,250
58076,CategoryA,180
58077,CategoryC,220
58078,CategoryB,190
58079,CategoryA,210
58080,CategoryC,160
58081,CategoryA,100
58082,CategoryB,200
58083,CategoryA,150
58084,CategoryC,300
